|[0.12162017822265625, 53.54165235759058]|,|[0.3244600296020508, 51.65594168252211]|,|[2.1947021484375, 50.61902847208354]|
|[0.13874506950378418, 55.16515888453283]|,|[0.2453160285949707, 54.21641547297678]|
|[0.0959630012512207, 52.80190765949309]|,|[0.28299808502197266, 47.53956060634575]|,|[1.0508852005004883, 36.14547106165785]|
|[0.36199212074279785, 55.471344041032374]|,|[0.8870911598205566, 55.074362255571664]|,|[1.4668910503387451, 54.8969822128185]|
|[0.06217622756958008, 54.680214250432506]|,|[0.6893191337585449, 34.80948796094049]|

