|[0.01712203025817871, 17.591607910158714]|,|[0.018967866897583008, 15.37244935879832]|,|[3.340733051300049, 15.077091970343966]|
|[0.01918792724609375, 19.92331264277503]|,|[0.03258991241455078, 19.099136376896872]|,|[0.19871091842651367, 17.53521562193821]|,|[0.3488619327545166, 16.591533469678247]|
|[0.1465768814086914, 19.08921910262476]|,|[1.0652940273284912, 13.205314350673099]|
|[0.2679259777069092, 21.94126480776014]|,|[1.4561858177185059, 21.8144845041064]|,|[4.275954008102417, 21.578939356739014]|,|[4.806546926498413, 20.305284017878378]|
|[0.08469390869140625, 20.421632949183998]|,|[2.4600989818573, 15.79751898132103]|
|[0.045806884765625, 15.069262631340399]|
|[0.01727604866027832, 12.967519925968375]|,|[0.02832794189453125, 12.470909563908306]|,|[0.11923599243164062, 10.793827273674157]|

