|[0.03743791580200195, 14.588666682231633]|,|[4.021371126174927, 14.223141792514012]|
|[0.5625090599060059, 14.079506038975998]|
|[0.024639129638671875, 14.066733693922616]|,|[0.04032111167907715, 14.043624534269965]|
|[0.10075592994689941, 19.64902601422621]|,|[0.12735199928283691, 15.264044833098973]|
|[0.8581089973449707, 22.642896491209363]|,|[1.8436710834503174, 21.600918977638347]|
|[0.0442049503326416, 18.12925231870492]|,|[0.4039950370788574, 15.12074341718495]|
|[0.35092592239379883, 22.278887901715184]|
|[0.14240193367004395, 21.85313750587395]|,|[0.2365560531616211, 11.422825508667005]|
|[0.05215907096862793, 25.739720810053697]|,|[0.05887794494628906, 22.47637359520187]|

