|[1.598930835723877, 34.15064761912964]|
|[0.14059686660766602, 30.411781552596953]|,|[7.52510404586792, 27.57218246566192]|,|[22.80459690093994, 22.723279583617867]|,|[33.656524896621704, 21.138103151378665]|
|[39.202807903289795, 19.429107520764074]|
|[0.20895791053771973, 62.62942100881055]|,|[0.30356693267822266, 62.4434422600767]|,|[1.2934699058532715, 60.35934008664255]|,|[6.350684881210327, 34.69380685479692]|,|[8.565717935562134, 34.49472797637081]|
|[0.11520695686340332, 33.89354736794312]|,|[0.8513798713684082, 32.681384753033456]|,|[3.065131902694702, 30.233245076214136]|
|[0.08728384971618652, 31.142867827969127]|,|[9.56560492515564, 30.99026725307273]|,|[11.496212005615234, 28.626283787930994]|,|[13.310617923736572, 28.406808292938265]|,|[16.23889684677124, 19.111988528399536]|
|[0.06518888473510742, 27.615839172925803]|
|[0.028110027313232422, 20.00397743092995]|
|[0.06028604507446289, 23.634278051384392]|
|[0.03013300895690918, 16.56977918053776]|

