|[0.0536649227142334, 19.820099018178357]|
|[0.5034728050231934, 36.79438966078146]|,|[1.5670948028564453, 20.316338262285687]|
|[1.2377488613128662, 29.147559461812506]|,|[2.723721981048584, 24.20735838377709]|
|[0.14083003997802734, 47.20120335234771]|,|[0.30353593826293945, 21.259538715079586]|
|[-1598916752.22741, 9999]|
|[0.11790299415588379, 35.21844961323573]|,|[4.42435884475708, 33.919617783733024]|
|[0.03499197959899902, 17.44119391744991]|
|[0.04519796371459961, 21.943998840701408]|
|[0.16778802871704102, 56.19292302151339]|,|[1.91603684425354, 24.76442819290854]|
|[0.04208087921142578, 15.104989189377774]|
|[0.20111298561096191, 19.891134679325063]|,|[0.4294719696044922, 17.153243386493525]|

