|[0.4297339916229248, 48.61893669480414]|,|[0.7007009983062744, 46.2220177429742]|,|[0.8172838687896729, 45.36707577485335]|,|[1.5024280548095703, 44.94519214181824]|,|[2.484952926635742, 43.83961381102662]|
|[0.06404495239257812, 22.160965566022327]|
|[0.19620203971862793, 30.9513756204994]|
|[0.025057077407836914, 14.340024006202485]|,|[0.05535387992858887, 14.264722685606033]|,|[0.06766390800476074, 13.931776164865253]|
|[1.8829669952392578, 35.24607973048652]|,|[2.972076892852783, 34.62007664667865]|
|[0.0848538875579834, 17.370318766421295]|,|[0.11239385604858398, 16.682152576544002]|,|[0.9756259918212891, 16.516738042876696]|

