|[6.9138689041137695, 61.18320717658117]|
|[2.1362180709838867, 47.430673092553576]|
|[0.2822721004486084, 71.4449614880984]|
|[-1598915298.497329, 9999]|
|[0.25017499923706055, 35.56810609955412]|,|[0.2974228858947754, 35.22446436361793]|,|[0.3113839626312256, 34.99157494229607]|
|[0.37366390228271484, 39.2653998504139]|
|[0.26366209983825684, 34.08804739804197]|,|[0.30519700050354004, 32.43003524139829]|
|[0.33787989616394043, 37.35444776959908]|
|[0.6202230453491211, 38.67457760657595]|,|[4.050656080245972, 38.44139669006462]|

